,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0,1514.000,3358.000,1514.000,3358.000
1,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0,1514.000,3358.000,1514.000,3358.000
2,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,130,0,response_right_key,0.0,1514.000,3358.000,1514.000,3358.000
3,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0,1514.000,3358.000,1514.000,3358.000
4,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0,1514.000,3358.000,1514.000,3358.000
5,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,329,response_left_key,3.29,1514.000,3358.000,1514.000,3358.000
6,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,377,response_left_key,3.77,1514.000,3358.000,1514.000,3358.000
7,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,621,response_left_key,6.21,1514.000,3358.000,1514.000,3358.000
8,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,130,836,response_right_key,8.36,1514.000,3358.000,1514.000,3358.000
9,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,1012,response_left_key,10.12,1514.000,3358.000,1514.000,3358.000
10,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,1382,response_left_key,13.82,1514.000,3358.000,1514.000,3358.000
11,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,1424,response_left_key,14.24,1514.000,3358.000,1514.000,3358.000
12,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,1476,response_left_key,14.76,1514.000,3358.000,1514.000,3358.000
13,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,1844,response_left_key,18.44,1514.000,3358.000,1514.000,3358.000
14,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,740,2499,reinforcer_scheduled_left,24.99,1514.000,3358.000,1514.000,3358.000
15,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,540,3178,feeder_on_left,31.78,1514.000,3358.000,1514.000,3358.000
16,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,320,3178,left_light_off,31.78,1514.000,3358.000,1514.000,3358.000
17,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,330,3178,right_light_off,31.78,1514.000,3358.000,1514.000,3358.000
18,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,350,3178,chamber_light_off,31.78,1514.000,3358.000,1514.000,3358.000
19,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,240,3178,feeder_on,31.78,1514.000,3358.000,1514.000,3358.000
20,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,120,3178,response_left_key,31.78,1514.000,3358.000,1514.000,3358.000
21,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,220,3428,left_light_on,34.28,1514.000,3358.000,1514.000,3358.000
22,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,230,3428,right_light_on,34.28,1514.000,3358.000,1514.000,3358.000
23,7,p054_s27_japede,07/24/17,16:30:52,17:31:10,p054,s27,japede_L_30_30_30_R_90_90_90,250,3428,chamber_light_on,34.28,1514.000,3358.000,1514.000,3358.000
